id,x_obs,y_obs,x_est,y_est
1,2.57 ,38.10 ,2.57 ,38.10 
1,2.78 ,37.39 ,2.78 ,37.39 
1,2.95 ,36.69 ,2.95 ,36.69 
1,3.11 ,35.97 ,3.11 ,35.97 
1,3.27 ,35.22 ,3.27 ,35.22 
1,3.41 ,34.42 ,3.25 ,33.72 
1,3.52 ,33.57 ,3.15 ,33.34 
1,3.60 ,32.69 ,3.10 ,32.11 
1,3.63 ,31.79 ,3.09 ,31.78 
1,3.62 ,30.90 ,3.02 ,30.86 
1,3.56 ,30.05 ,2.98 ,29.71 
1,3.50 ,29.22 ,2.94 ,28.90 
1,3.44 ,28.42 ,2.85 ,28.00 
1,3.38 ,27.61 ,2.83 ,27.23 
1,3.31 ,26.80 ,2.75 ,26.57 
1,3.22 ,25.98 ,2.73 ,25.39 
1,3.12 ,25.17 ,2.66 ,24.91 
1,2.99 ,24.36 ,2.62 ,23.85 
1,2.84 ,23.56 ,2.58 ,23.59 
1,2.66 ,22.76 ,2.54 ,22.65 
1,2.51 ,21.96 ,2.48 ,21.50 
1,2.37 ,21.14 ,2.41 ,20.47 
1,2.27 ,20.30 ,2.38 ,19.66 
1,2.23 ,19.45 ,2.32 ,18.97 
1,2.23 ,18.61 ,2.28 ,18.68 
1,2.28 ,17.78 ,2.23 ,17.60 
1,2.34 ,16.95 ,2.16 ,16.82 
1,2.42 ,16.13 ,2.13 ,16.15 
1,2.48 ,15.32 ,2.07 ,15.39 
1,2.52 ,14.52 ,2.00 ,13.79 
1,2.50 ,13.72 ,1.97 ,13.20 
1,2.45 ,12.92 ,1.92 ,12.82 
1,2.37 ,12.11 ,1.85 ,11.71 
1,2.27 ,11.28 ,1.80 ,10.77 
1,2.16 ,10.42 ,1.79 ,10.17 
1,2.07 ,9.53 ,1.71 ,9.16 
1,1.99 ,8.64 ,1.65 ,8.48 
1,1.94 ,7.77 ,1.64 ,7.51 
1,1.91 ,6.97 ,1.56 ,6.28 
1,1.88 ,6.23 ,1.51 ,5.84 
1,1.86 ,5.52 ,1.49 ,5.28 
1,1.81 ,4.83 ,1.42 ,4.45 
1,1.74 ,4.11 ,1.36 ,3.31 
1,1.65 ,3.36 ,1.32 ,2.11 
1,1.52 ,2.57 ,1.29 ,1.88 
1,1.38 ,1.74 ,1.24 ,0.83 
1,1.21 ,0.86 ,1.17 ,-0.09 
1,1.04 ,-0.08 ,1.09 ,-0.17 
1,0.87 ,-1.11 ,1.01 ,-1.24 
1,0.71 ,-2.23 ,0.93 ,-2.50 
1,0.56 ,-3.45 ,0.57 ,-3.03 
2,-0.20 ,37.63 ,-0.17 ,37.63 
2,0.15 ,37.24 ,0.08 ,36.67 
2,0.38 ,36.73 ,0.32 ,36.04 
2,0.60 ,36.10 ,0.56 ,35.44 
2,0.77 ,35.40 ,0.79 ,34.98 
2,0.89 ,34.65 ,0.85 ,34.65 
2,0.95 ,33.89 ,0.91 ,34.35 
2,0.98 ,33.11 ,0.87 ,33.70 
2,0.95 ,32.34 ,0.92 ,33.05 
2,0.88 ,31.58 ,0.85 ,32.40 
2,0.81 ,30.86 ,0.85 ,31.75 
2,0.74 ,30.18 ,0.93 ,31.11 
2,0.69 ,29.54 ,0.93 ,30.46 
2,0.66 ,28.94 ,0.91 ,29.81 
2,0.65 ,28.35 ,0.87 ,29.16 
2,0.64 ,27.77 ,0.89 ,28.51 
2,0.63 ,27.18 ,0.91 ,27.86 
2,0.61 ,26.57 ,0.94 ,27.21 
2,0.58 ,25.93 ,0.85 ,26.56 
2,0.55 ,25.27 ,0.94 ,25.91 
2,0.53 ,24.63 ,0.86 ,25.26 
2,0.54 ,24.00 ,0.85 ,24.61 
2,0.58 ,23.39 ,0.93 ,23.96 
2,0.60 ,22.80 ,0.94 ,23.32 
2,0.65 ,22.21 ,0.94 ,22.67 
2,0.68 ,21.63 ,0.88 ,22.02 
2,0.70 ,21.06 ,0.87 ,21.37 
2,0.72 ,20.50 ,0.85 ,20.72 
2,0.75 ,19.93 ,0.87 ,20.07 
2,0.78 ,19.36 ,0.88 ,19.42 
2,0.82 ,18.75 ,0.88 ,18.77 
2,0.85 ,18.12 ,0.91 ,18.12 
2,0.91 ,17.46 ,0.93 ,17.47 
2,0.92 ,16.79 ,0.90 ,16.82 
2,0.93 ,16.11 ,0.88 ,16.17 
2,0.94 ,15.44 ,0.89 ,15.53 
2,0.96 ,14.79 ,0.94 ,14.88 
2,1.02 ,14.13 ,0.91 ,14.23 
2,1.05 ,13.47 ,0.96 ,13.58 
2,1.07 ,12.80 ,0.98 ,12.93 
2,1.13 ,12.15 ,0.89 ,12.28 
2,1.18 ,11.50 ,0.92 ,11.63 
2,1.23 ,10.87 ,1.02 ,10.98 
2,1.28 ,10.25 ,0.97 ,10.50 
2,1.32 ,9.63 ,1.15 ,10.10 
2,1.35 ,9.00 ,1.28 ,9.40 
2,1.37 ,8.37 ,1.32 ,8.90 
2,1.38 ,7.71 ,1.38 ,8.10 
2,1.38 ,7.03 ,1.47 ,7.50 
2,1.35 ,6.34 ,1.51 ,6.80 
2,1.31 ,5.62 ,1.48 ,6.10 
2,1.27 ,4.89 ,1.48 ,5.40 
2,1.20 ,4.16 ,1.51 ,4.60 
2,1.18 ,3.44 ,1.44 ,3.84 
2,1.15 ,2.73 ,1.39 ,3.19 
